lat,lon,queried_at_utc,wind_speed_100m_ms,wind_direction_100m,expected_power_kw,in_operating_range
53.35,3.95,2026-06-18T21:00,12.0,191,3352.9493472007644,True
53.35,4.15,2026-06-18T21:00,10.1,193,2538.10485353445,True
53.35,4.35,2026-06-18T21:00,8.0,192,1494.6742644502956,True
53.35,4.55,2026-06-18T21:00,8.5,199,1730.9442322125449,True
53.35,4.75,2026-06-18T21:00,6.3,205,735.713301618422,True
53.35,4.95,2026-06-18T21:00,6.6,194,850.6394442456975,True
53.35,5.15,2026-06-18T21:00,5.9,177,593.93226095529,True
53.35,5.35,2026-06-18T21:00,5.9,183,593.93226095529,True
53.35,5.55,2026-06-18T21:00,7.2,220,1107.4279005870892,True
53.35,5.75,2026-06-18T21:00,4.5,227,233.66778873840877,True
53.35,5.95,2026-06-18T21:00,0.3,119,0.0,False
53.35,6.15,2026-06-18T21:00,3.6,113,97.5680990120513,True
53.35,6.35,2026-06-18T21:00,3.6,131,97.5680990120513,True
53.35,6.55,2026-06-18T21:00,5.4,113,446.7301031305082,True
53.35,6.75,2026-06-18T21:00,7.4,108,1201.54671416659,True
53.35,6.95,2026-06-18T21:00,7.1,102,1060.3684937973385,True
53.35,7.15,2026-06-18T21:00,6.0,93,624.3252037132175,True
53.55,3.35,2026-06-18T21:00,9.8,213,2385.773431875847,True
53.55,3.55,2026-06-18T21:00,9.6,217,2283.203640273621,True
53.55,3.75,2026-06-18T21:00,8.1,209,1541.9282580027452,True
53.55,3.95,2026-06-18T21:00,8.5,200,1730.9442322125449,True
53.55,4.15,2026-06-18T21:00,8.9,190,1941.7948913100477,True
53.55,4.35,2026-06-18T21:00,9.8,190,2385.773431875847,True
53.55,4.55,2026-06-18T21:00,8.6,201,1783.6568969869204,True
53.55,4.75,2026-06-18T21:00,9.8,208,2385.773431875847,True
53.55,4.95,2026-06-18T21:00,8.1,203,1541.9282580027452,True
53.55,5.15,2026-06-18T21:00,6.3,206,735.713301618422,True
53.55,5.35,2026-06-18T21:00,5.7,197,533.1463754394345,True
53.55,5.55,2026-06-18T21:00,6.0,192,624.3252037132175,True
53.55,5.75,2026-06-18T21:00,5.8,186,563.539318197362,True
53.55,5.95,2026-06-18T21:00,3.6,146,97.5680990120513,True
53.55,6.15,2026-06-18T21:00,2.8,102,0.0,False
53.55,6.35,2026-06-18T21:00,6.3,118,735.713301618422,True
53.55,6.55,2026-06-18T21:00,6.6,117,850.6394442456975,True
53.55,6.75,2026-06-18T21:00,6.3,117,735.713301618422,True
53.55,6.95,2026-06-18T21:00,7.4,117,1201.54671416659,True
53.55,7.15,2026-06-18T21:00,6.2,111,698.5839356500206,True
